Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Ryze,Top,0.4855,0.0128,0.0015,47.53,5.88,6.27,6.22,2.74,23491,23467,1463,185.7,2.37,5.37,12221,43,Rod of Ages,19.61,Seraph's Embrace,15.69,Doran's Ring,7.84,Amplifying Tome,7.84,Void Staff,5.88,Mercury's Treads,5.88,Other,
Sejuani,Jungle,0.5127,0.0401,0.0025,33.01,4.67,4.49,11.18,2.54,15008,35271,7554,47.2,8.1,64.94,11692,21,Mercury's Treads,20.83,Enchantment:Runic Echoes,12.5,Spirit Visage,8.33,Sunfire Cape,8.33,Enchantment:Cinderhulk,8.33,Thornmail,4.17,Other,
Shaco,Jungle,0.5126,0.0535,0.0098,110.09,8.27,6.13,7.24,3.72,19064,26016,5800,53.2,11.73,54.35,12624,16,Zeal,20,Enchantment:Warrior,17,Ravenous Hydra,12,Boots of Swiftness,9,Long Sword,4,Ruby Crystal,3,Other,
Shen,Top,0.5136,0.0474,0.0071,40.72,4.13,4.55,10.7,2.22,16285,27368,3275,178.8,1.35,2.77,11787,23,Spirit Visage,16,Sunfire Cape,16,Doran's Shield,8,Randuin's Omen,8,Boots of Swiftness,8,Chain Vest,4,Other,
Shyvana,Jungle,0.5221,0.0811,0.2224,25.9,6.3,4.96,7.11,3.24,17865,33254,7710,61.9,16.07,79.95,13177,1,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Singed,Top,0.5133,0.0125,0.0005,91.84,3.85,6.34,7.56,1.79,22716,35537,3211,223.7,1.86,1.5,12549,27,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Sion,Top,0.5166,0.0312,0.0012,40.9,4.55,5.26,8.94,2.2,19888,32666,14445,191.7,1.53,2.44,12146,19,Sunfire Cape,15.79,Corrupting Potion,15.79,Iceborn Gauntlet,10.53,Ninja Tabi,10.53,Face of the Mountain,5.26,Randuin's Omen,5.26,Other,
Sivir,ADC,0.5277,0.111,0.0023,25.71,5.82,5.34,8.63,2.88,22409,18515,3235,227.2,2.62,8.2,13380,6,Essence Reaver,16.44,Doran's Blade,15.07,Statikk Shiv,8.22,Infinity Edge,8.22,Ionian Boots of Lucidity,8.22,Rapid Firecannon,4.11,Other,
Skarner,Jungle,0.5378,0.0134,0.0006,44.41,4.67,4.62,10.26,2.49,12419,28750,7149,38.9,11.1,65.88,11699,32,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Sona,Support,0.5233,0.0488,0.0007,91.63,2.75,5.94,13.73,1.18,13973,17688,9839,20.7,0.34,0.43,10256,9,Ionian Boots of Lucidity,25,Athene's Unholy Grail,13,Frost Queen's Claim,8,Poro-Snax,8,Ruby Crystal,5,Faerie Charm,4,Other,
Soraka,Support,0.5525,0.106,0.0839,51.13,0.7,5.09,14.53,0.16,5389,14092,21893,17,0.17,0.23,9258,3,Boots of Swiftness,13.16,Locket of the Iron Solari,11.84,Frost Queen's Claim,7.89,Ionian Boots of Lucidity,7.89,Sightstone,6.58,Eye of the Oasis,5.26,Other,
Swain,Middle,0.5009,0.0114,0.0011,73.9,7.3,6.28,7.34,3.44,24684,29645,11634,142.5,1.64,6.81,11728,38,Ninja Tabi,20,Rod of Ages,15,Tear of the Goddess,15,Doran's Ring,7,Seeker's Armguard,7,Ruby Crystal,4,Other,
Syndra,Middle,0.4701,0.0263,0.0007,29.76,7.51,6.35,6.64,3.39,23463,17634,1670,190.5,1.96,7.97,12759,28,Doran's Ring,30,Blasting Wand,10,Void Staff,10,Rod of Ages,10,Mercury's Treads,10,Hextech Revolver,10,Other,
Tahm Kench,Top,0.4873,0.0161,0.2218,21.78,5,5.05,7.9,2.57,19645,34915,8262,174.8,1.8,2.76,11855,24,Bami's Cinder,12.5,Mercury's Treads,12.5,Chain Vest,12.5,Spirit Visage,6.25,Warden's Mail,6.25,Poro-Snax,6.25,Other,
Talon,Middle,0.512,0.0279,0.0041,48.05,8.68,7.15,6.76,3.66,22473,23374,1930,167.6,2.59,7.39,12734,21,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Taric,Support,0.5147,0.0187,0.0009,39.79,1.38,5.25,13.52,0.46,6548,27016,14233,45.8,0.27,0.38,9456,22,Sightstone,21.43,Iceborn Gauntlet,14.29,Boots of Swiftness,14.29,Face of the Mountain,7.14,Boots of Mobility,7.14,Relic Shield,7.14,Other,
Teemo,Top,0.4999,0.0234,0.0048,84.01,6.15,6.62,5.88,2.72,28476,21893,2623,192.9,2.81,4.21,12858,28,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Thresh,Support,0.4856,0.2848,0.0066,99.4,1.83,5.69,13.77,0.67,8067,22750,2636,36,0.2,0.19,9283,12,Locket of the Iron Solari,14.67,Eye of the Equinox,13.33,Boots of Swiftness,9.33,Sightstone,8,Boots of Mobility,6.67,Frozen Heart,6.67,Other,
Tristana,ADC,0.4844,0.0637,0.0005,30.56,7.19,5.51,6.25,3.44,20335,19712,2900,195,2.63,8.24,12897,17,Guinsoo's Rageblade,15.63,Runaan's Hurricane,15.63,Infinity Edge,12.5,Doran's Blade,12.5,Berserker's Greaves,9.38,Enchantment:Alacrity,6.25,Other,
Trundle,Top,0.524,0.0824,0.0444,21.44,4.88,4.87,7.47,2.52,17959,37299,12759,191.3,2.34,3.66,12117,5,Face of the Mountain,5.94,Sightstone,5.94,Corrupting Potion,5.94,Spirit Visage,4.95,Locket of the Iron Solari,4.95,Boots of Swiftness,4.95,Other,
Tryndamere,Top,0.5228,0.0371,0.0052,69.81,5.66,5.68,4.34,2.66,18515,36295,9267,220.6,7.35,8.08,13416,12,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Twisted Fate,Middle,0.5075,0.0731,0.0027,43.85,6.65,6.36,8.22,3.12,22004,19431,2010,171.8,2.05,8.33,12943,17,Doran's Ring,18.57,Ionian Boots of Lucidity,14.29,Lich Bane,12.86,Rod of Ages,10,Needlessly Large Rod,7.14,Abyssal Scepter,7.14,Other,
Twitch,ADC,0.527,0.0397,0.0009,34.34,8.6,6.2,6.72,3.87,23182,20057,3111,184.2,2.87,8.86,13133,9,Runaan's Hurricane,18.18,Doran's Blade,13.64,Berserker's Greaves,9.09,B. F. Sword,9.09,Youmuu's Ghostblade,9.09,Boots of Swiftness,9.09,Other,
Udyr,Jungle,0.5351,0.0776,0.3594,42.57,5.43,4.61,7.96,2.92,13363,31000,7554,59.9,13.6,70.09,12501,3,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Urgot,Top,0.5024,0.0032,0.0014,30.27,5.7,6.06,6.27,2.67,21697,19815,1774,181.2,1.4,3.67,11969,48,The Black Cleaver,20,Chain Vest,10,Giant's Belt,10,Enchantment:Alacrity,10,Iceborn Gauntlet,10,Corrupting Potion,10,Other,
Varus,ADC,0.5005,0.0164,0.0003,24.28,7.16,6.23,8.11,3.28,23671,18713,2921,195.4,2.54,7.46,13083,16,Youmuu's Ghostblade,15,Manamune,15,Last Whisper,10,Corrupting Potion,10,Ionian Boots of Lucidity,10,Muramana,5,Other,
Vayne,ADC,0.4936,0.251,0.044,90.14,7.49,6.19,5.82,3.42,20896,21188,3304,188,2.53,7.94,12786,12,Berserker's Greaves,11.76,Phantom Dancer,11.76,Doran's Blade,11.76,Blade of the Ruined King,8.82,The Bloodthirster,5.88,Infinity Edge,5.88,Other,
Veigar,Middle,0.45,0.0158,0.0005,30.9,7.19,6.25,6.9,3.33,21372,17484,1665,183.4,1.85,8.14,12552,42,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Vel'Koz,Middle,0.5254,0.0243,0.0006,52.38,7.03,5.52,8.36,3.54,28071,17182,1927,182.2,1.71,6.62,12776,6,Rabadon's Deathcap,11.76,Liandry's Torment,11.76,Needlessly Large Rod,11.76,Sorcerer's Shoes,11.76,Enchantment:Alacrity,5.88,Haunting Guise,5.88,Other,
Vi,Jungle,0.5098,0.063,0.0046,42.9,6.49,5.78,8.17,3.09,15589,26711,5874,42.3,9.71,67.2,12076,24,Enchantment:Warrior,23.81,Ninja Tabi,14.29,Sunfire Cape,9.52,Hunter's Potion,9.52,Ruby Crystal,4.76,Sterak's Gage,4.76,Other,
Viktor,Middle,0.466,0.0266,0.0009,43.26,6.66,5.96,6.83,3.26,24028,17202,1653,191.3,1.91,8.61,12543,31,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Vladimir,Top,0.4668,0.0294,0.0016,51.91,5.15,6.61,6.45,2.3,24558,31316,21832,197.8,2.62,4.74,12314,38,Enchantment:Alacrity,20,Spirit Visage,20,Will of the Ancients,20,Void Staff,10,Negatron Cloak,10,Rylai's Crystal Scepter,10,Other,
Volibear,Jungle,0.5417,0.0441,0.0141,46.58,6.73,4.86,9.26,3.54,16250,38069,7264,43.5,9.25,58.39,11962,6,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Warwick,Jungle,0.5311,0.0221,0.0011,40.28,6.31,5.39,8.58,3.09,14983,38662,20104,36.8,10,67.92,12142,19,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Wukong,Top,0.5191,0.0266,0.002,101.28,6.85,5.93,6.74,3.24,20437,25487,2492,176.4,2.24,4.77,12414,26,Enchantment:Warrior,14.29,Hunter's Potion,7.14,B. F. Sword,7.14,Sterak's Gage,7.14,Mercury's Treads,7.14,Poro-Snax,7.14,Other,
Xerath,Middle,0.5013,0.0185,0.0003,44.55,6.81,5.29,8.35,3.52,26596,15809,1783,179.2,1.53,6.61,12502,15,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Xin Zhao,Jungle,0.5229,0.055,0.0685,32.88,6.65,6.41,6.8,2.93,17167,33688,14783,45.1,11.55,66.17,12275,11,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Yasuo,Middle,0.4987,0.1172,0.0632,75.78,7.04,7.41,6.71,2.99,19940,22713,1190,198.5,5.06,9.67,12914,19,Doran's Blade,15.22,Phantom Dancer,15.22,Statikk Shiv,4.35,Boots of Swiftness,4.35,Maw of Malmortius,4.35,Hexdrinker,4.35,Other,
Yorick,Top,0.462,0.0047,0.001,12.36,4.62,6.11,6.99,2.08,21929,30114,13218,168.8,1.93,4.1,11657,54,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Zac,Jungle,0.4807,0.0405,0.0054,37.97,4.93,4.49,11.12,2.71,15640,33550,27488,42.8,7.35,62.71,11494,28,Enchantment:Runic Echoes,9.09,Kindlegem,9.09,Zz'Rot Portal,9.09,Spirit Visage,9.09,Mercury's Treads,9.09,Banshee's Veil,9.09,Other,
Zed,Middle,0.5239,0.135,0.5859,55.76,8.81,6.15,5.7,3.98,22866,20979,2111,185.8,2.57,6.03,12989,2,Youmuu's Ghostblade,16.22,Maw of Malmortius,8.11,The Black Cleaver,8.11,Serrated Dirk,8.11,Boots of Swiftness,6.76,Duskblade of Draktharr,5.41,Other,
Ziggs,Middle,0.4851,0.0172,0.0003,21.38,6.22,5.69,8.02,3,27691,16769,1749,198.4,2.04,9,12822,26,Ionian Boots of Lucidity,20,The Dark Seal,19,Frost Queen's Claim,11,Doran's Ring,9,Rabadon's Deathcap,8,Ruby Crystal,3,Other,
Zilean,Support,0.507,0.0222,0.0022,56.24,2.43,5.09,12.79,1.06,13339,16940,3175,42.5,0.64,1.09,10474,11,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Zyra,Support,0.5241,0.0257,0.0005,81.92,3.83,7.01,11.34,1.5,22064,16987,1120,45,1.1,2.4,11323,15,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
