Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Diana,Jungle,0.4986,0.0254,0.0342,57.13,7.61,6.02,7.76,3.61,19825,23016,4378,59.2,10.13,71.56,12883,15,Zhonya's Hourglass,17.65,Void Staff,17.65,Blasting Wand,11.76,Enchantment:Runic Echoes,5.88,Nashor's Tooth,5.88,Rabadon's Deathcap,5.88,Other,
Dr. Mundo,Top,0.5072,0.0333,0.0739,14.79,4.84,5.07,7.57,2.51,22497,37294,11288,191.6,2.3,3.27,12201,6,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Draven,ADC,0.4917,0.0492,0.0017,88.22,7.19,6.2,6.45,3.28,22325,20400,2492,191.3,2.83,8.17,13763,15,Youmuu's Ghostblade,18.18,Doran's Blade,12.73,Berserker's Greaves,9.09,Infinity Edge,7.27,Boots of Swiftness,7.27,Dagger,5.45,Other,
Ekko,Jungle,0.5044,0.0571,0.0242,38.04,6.96,5.43,8.98,3.46,17937,31488,8680,52.4,8.06,60.68,12201,13,Doran's Ring,12.5,Abyssal Scepter,7.5,Iceborn Gauntlet,7.5,Sunfire Cape,6.25,Boots of Swiftness,5,Zhonya's Hourglass,5,Other,
Elise,Jungle,0.4787,0.0674,0.0135,36.27,6.39,5.72,8.38,3.05,17117,25618,7301,39.7,9.22,60.55,11799,40,Enchantment:Runic Echoes,18,Rylai's Crystal Scepter,14,Boots of Swiftness,8,Amplifying Tome,8,Abyssal Scepter,4,Blasting Wand,4,Other,
Evelynn,Jungle,0.4903,0.0229,0.0025,88.29,7.5,5.77,8.98,3.62,19051,27962,6346,42.2,9.13,60.55,12095,27,Blasting Wand,9.09,Enchantment:Runic Echoes,9.09,Ionian Boots of Lucidity,9.09,Rylai's Crystal Scepter,9.09,Enchantment:Warrior,4.55,Hunter's Potion,4.55,Other,
Ezreal,ADC,0.5111,0.267,0.0204,35.25,7.13,5.08,8.26,3.62,26230,18208,3038,193.1,2.44,6.9,12951,3,Iceborn Gauntlet,16.67,Doran's Blade,14.71,Ionian Boots of Lucidity,11.76,Muramana,9.8,Manamune,7.84,Long Sword,5.88,Other,
Fiddlesticks,Jungle,0.5111,0.0138,0.0008,164.7,5.72,5.67,9.31,2.86,17802,29833,17157,42.9,7.48,67.18,11854,33,Zhonya's Hourglass,14.29,Void Staff,14.29,Poro-Snax,14.29,Luden's Echo,14.29,Frost Queen's Claim,14.29,Sorcerer's Shoes,14.29,Other,
Fiora,Top,0.4579,0.0591,0.2511,28.6,5.88,6.19,5.47,2.74,19087,31558,7920,184.8,2.4,4.67,12152,30,Doran's Blade,16.67,Dagger,8.33,Jaurim's Fist,8.33,Ionian Boots of Lucidity,8.33,Boots of Swiftness,8.33,Corrupting Potion,8.33,Other,
Fizz,Middle,0.5086,0.0799,0.0562,50.39,9.4,6.62,5.87,4.09,20418,20875,1905,144.7,1.85,6.92,12317,16,Lich Bane,8.05,Zhonya's Hourglass,6.9,Iceborn Gauntlet,6.9,Ionian Boots of Lucidity,6.9,Doran's Ring,6.9,Corrupting Potion,6.9,Other,
Galio,Middle,0.5431,0.007,0.0008,21.97,5.56,5.63,10.28,2.74,22688,25319,7209,181.2,1.9,6.06,12234,29,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Gangplank,Top,0.4984,0.0564,0.0197,37.86,5.88,5.47,7.63,2.9,23947,26141,6499,219.4,2.17,5.4,14092,2,Trinity Force,16.83,Infinity Edge,11.88,Ionian Boots of Lucidity,6.93,Enchantment:Alacrity,6.93,Corrupting Potion,6.93,Doran's Ring,5.94,Other,
Garen,Top,0.5213,0.0543,0.022,30.3,6.59,5.13,5.88,3.39,20920,32642,2366,189.9,2.27,2.99,12589,4,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
