Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position
Jinx,ADC,0.5172,0.0928,0.001,82.45,7.17,5.97,7.43,3.46,21699,18575,2676,196.6,2.78,8.74,12997,8
Kalista,ADC,0.4638,0.0662,0.0104,47.59,6.88,6.43,6.62,3.17,19169,21281,3769,185.5,3.3,8.87,12488,18
Karma,Support,0.4828,0.048,0.003,29.51,2.23,5.78,12.83,0.88,13703,16662,1474,33.6,0.61,0.96,10362,17
Karthus,Middle,0.4876,0.0074,0.0004,39.27,7.38,7.02,8.86,2.85,29876,22583,2257,191.2,2.14,13.02,13171,27
Kassadin,Middle,0.4619,0.0227,0.0011,26.16,8.06,5.93,6.4,3.91,21024,24028,2266,156.8,1.6,6.14,12038,41
Katarina,Middle,0.5087,0.057,0.0092,54.53,9.44,6.63,6.72,4.3,23340,18896,1808,170.5,1.29,2.98,12611,9
Kayle,Top,0.5356,0.0267,0.0157,37.15,5.6,5.92,6.17,2.69,20450,24229,8175,209.7,3.58,7.37,12829,11
Kennen,Top,0.4766,0.0122,0.0005,30.63,5.27,5.7,6.65,2.56,22170,19648,2045,176.6,1.18,2.59,11805,53
Kha'Zix,Jungle,0.4911,0.1234,0.039,36.79,8.67,5.86,6.39,4.08,19050,31263,10919,45.1,11.84,68.61,12738,7
Kindred,Jungle,0.5302,0.0694,0.0583,22.75,7.15,5.99,7.58,3.37,19822,28483,13395,48.6,15.63,62.72,12347,5
Kog'Maw,ADC,0.5594,0.031,0.0643,14.33,8.49,6.46,7.01,3.76,25812,19968,3429,198.6,2.96,10.42,13634,2
LeBlanc,Middle,0.469,0.1345,0.1112,37.58,8.42,5.46,6.06,4.16,21411,18377,2091,152.7,1.52,5.88,12116,20
Lee Sin,Jungle,0.4682,0.215,0.0181,73.34,6.51,5.84,9,3.12,15060,30488,6581,39.4,9.9,59.3,11751,26
Leona,Support,0.5109,0.1132,0.0068,74.47,1.86,5.85,13.37,0.67,8330,25163,3200,46.8,0.23,0.25,9740,16
Lissandra,Middle,0.483,0.0471,0.0056,23.49,5.59,5.88,8.22,2.67,19936,21697,2871,190.1,1.79,6.81,12195,35
Lucian,ADC,0.4917,0.3579,0.0129,52.85,7.18,5.65,6.83,3.43,21972,19917,3122,212.9,3.01,9.23,13350,7
Lulu,Support,0.472,0.0444,0.0102,41.7,1.67,5.5,13.16,0.62,9159,16775,1186,26,0.31,0.4,9856,20
Lux,Middle,0.4939,0.1604,0.0292,38.18,6.61,5.33,9.26,3.42,23371,14853,1535,170.1,1.44,5.81,12250,7
Malphite,Top,0.5252,0.0802,0.6344,22.93,4.86,4.58,8.94,2.62,18885,23209,2728,175.7,1.33,2.91,11861,10
Malzahar,Middle,0.5457,0.0405,0.0062,62.81,6.39,5.6,7.31,3.13,24329,19493,1829,182.6,2.28,7.68,12547,8
Maokai,Jungle,0.4956,0.0119,0.0056,29.31,4.55,5.37,11.65,2.25,15889,37289,12096,47.9,7.26,57.78,11455,42
Master Yi,Jungle,0.511,0.1056,0.5027,45.6,8.59,6.68,5.03,3.66,18251,30223,7946,59.3,12.39,76.04,13239,2
Miss Fortune,ADC,0.5078,0.047,0.001,32.18,6.85,6.15,8.3,3.18,23587,19467,2858,195.4,2.22,6.5,12941,11
Mordekaiser,Top,0.4717,0.0044,0.0009,39.04,5.26,6.63,5.56,2.43,21832,19055,10123,188,3.27,5.48,12081,56
Morgana,Middle,0.5236,0.0292,0.0289,48.34,5.67,4.92,9.77,2.95,22119,20712,1534,173,1.41,4.97,12410,10
Nami,Support,0.5199,0.0691,0.0003,75.45,1.51,4.8,15.01,0.57,8808,16334,10951,14.6,0.13,0.13,9761,5
Nasus,Top,0.5161,0.0705,0.0143,43.54,5.01,5.31,5.98,2.56,19494,34898,1943,201.2,2.16,4.29,12410,8
Nautilus,Top,0.5261,0.077,0.3904,20.54,4.05,5.07,9.57,2.11,18120,25781,2885,183.4,1.18,2.37,11738,9
Nidalee,Jungle,0.4978,0.0525,0.0313,51.33,6.89,5.36,7.97,3.48,18276,29321,14259,45.2,13.57,68.22,12316,9
Nocturne,Jungle,0.4959,0.0363,0.0019,34.14,7.59,5.68,7.45,3.62,17382,31668,9603,53.5,10.14,73.28,12818,20
Nunu,Jungle,0.4977,0.0057,0.0004,37.86,4.15,4.75,10.77,2.25,13115,37019,13656,44.9,12.19,58.51,11551,44
Olaf,Jungle,0.4434,0.0045,0.0013,25.38,5.82,5.78,7.74,2.77,16743,36171,8467,54.5,8.8,62.96,11845,46
Orianna,Middle,0.4694,0.0692,0.0009,30.33,5.75,5.39,8.89,2.92,20295,16797,1786,189.7,2.31,10.44,12346,33
Pantheon,Top,0.5148,0.038,0.013,59.46,8.11,6.42,6.58,3.68,22092,23548,1954,156.3,1.77,3.65,12230,22
Poppy,Top,0.5275,0.0953,0.2799,20.49,5.6,5.26,7.65,2.89,21144,27273,3081,177.9,2.1,3.4,12164,3
Quinn,ADC,0.5056,0.0075,0.0352,59.94,7.84,6.75,7.78,3.42,22114,21145,3019,180.3,2.75,6.53,12883,14
Rammus,Jungle,0.5086,0.0338,0.1954,26.09,4.34,5.27,11.48,2.11,15339,33480,7748,43.8,6.39,56.86,11343,22
Rek'Sai,Jungle,0.486,0.0238,0.0008,60.33,4.93,4.75,9.53,2.62,13776,36895,14212,42.1,11.67,64.65,11676,39
Renekton,Top,0.4895,0.0639,0.0056,43.78,5.55,5.79,6.53,2.66,19325,34911,6594,199.5,3.2,4.67,12465,18
Rengar,Jungle,0.4792,0.0484,0.0276,94.19,8.24,6.43,6.52,3.65,17567,28902,9418,48.6,10.87,70.09,12755,23
Riven,Top,0.4818,0.069,0.0068,134.01,6.78,6.48,5.13,3.07,18003,23513,2301,193.5,4.45,7.06,12693,37
Rumble,Top,0.4248,0.0074,0.0004,58.49,5.61,6.6,7.31,2.57,23464,23179,1899,156.5,1.33,3.36,11458,55
Ryze,Top,0.4855,0.0128,0.0015,47.53,5.88,6.27,6.22,2.74,23491,23467,1463,185.7,2.37,5.37,12221,43
Sejuani,Jungle,0.5127,0.0401,0.0025,33.01,4.67,4.49,11.18,2.54,15008,35271,7554,47.2,8.1,64.94,11692,21
Shaco,Jungle,0.5126,0.0535,0.0098,110.09,8.27,6.13,7.24,3.72,19064,26016,5800,53.2,11.73,54.35,12624,16
Shen,Top,0.5136,0.0474,0.0071,40.72,4.13,4.55,10.7,2.22,16285,27368,3275,178.8,1.35,2.77,11787,23
Shyvana,Jungle,0.5221,0.0811,0.2224,25.9,6.3,4.96,7.11,3.24,17865,33254,7710,61.9,16.07,79.95,13177,1
Singed,Top,0.5133,0.0125,0.0005,91.84,3.85,6.34,7.56,1.79,22716,35537,3211,223.7,1.86,1.5,12549,27
Sion,Top,0.5166,0.0312,0.0012,40.9,4.55,5.26,8.94,2.2,19888,32666,14445,191.7,1.53,2.44,12146,19
Sivir,ADC,0.5277,0.111,0.0023,25.71,5.82,5.34,8.63,2.88,22409,18515,3235,227.2,2.62,8.2,13380,6
Skarner,Jungle,0.5378,0.0134,0.0006,44.41,4.67,4.62,10.26,2.49,12419,28750,7149,38.9,11.1,65.88,11699,32
Sona,Support,0.5233,0.0488,0.0007,91.63,2.75,5.94,13.73,1.18,13973,17688,9839,20.7,0.34,0.43,10256,9
Soraka,Support,0.5525,0.106,0.0839,51.13,0.7,5.09,14.53,0.16,5389,14092,21893,17,0.17,0.23,9258,3
Swain,Middle,0.5009,0.0114,0.0011,73.9,7.3,6.28,7.34,3.44,24684,29645,11634,142.5,1.64,6.81,11728,38
Syndra,Middle,0.4701,0.0263,0.0007,29.76,7.51,6.35,6.64,3.39,23463,17634,1670,190.5,1.96,7.97,12759,28
Tahm Kench,Top,0.4873,0.0161,0.2218,21.78,5,5.05,7.9,2.57,19645,34915,8262,174.8,1.8,2.76,11855,24
Talon,Middle,0.512,0.0279,0.0041,48.05,8.68,7.15,6.76,3.66,22473,23374,1930,167.6,2.59,7.39,12734,21
Taric,Support,0.5147,0.0187,0.0009,39.79,1.38,5.25,13.52,0.46,6548,27016,14233,45.8,0.27,0.38,9456,22
Teemo,Top,0.4999,0.0234,0.0048,84.01,6.15,6.62,5.88,2.72,28476,21893,2623,192.9,2.81,4.21,12858,28
Thresh,Support,0.4856,0.2848,0.0066,99.4,1.83,5.69,13.77,0.67,8067,22750,2636,36,0.2,0.19,9283,12
Tristana,ADC,0.4844,0.0637,0.0005,30.56,7.19,5.51,6.25,3.44,20335,19712,2900,195,2.63,8.24,12897,17
Trundle,Top,0.524,0.0824,0.0444,21.44,4.88,4.87,7.47,2.52,17959,37299,12759,191.3,2.34,3.66,12117,5
Tryndamere,Top,0.5228,0.0371,0.0052,69.81,5.66,5.68,4.34,2.66,18515,36295,9267,220.6,7.35,8.08,13416,12
Twisted Fate,Middle,0.5075,0.0731,0.0027,43.85,6.65,6.36,8.22,3.12,22004,19431,2010,171.8,2.05,8.33,12943,17
Twitch,ADC,0.527,0.0397,0.0009,34.34,8.6,6.2,6.72,3.87,23182,20057,3111,184.2,2.87,8.86,13133,9
Udyr,Jungle,0.5351,0.0776,0.3594,42.57,5.43,4.61,7.96,2.92,13363,31000,7554,59.9,13.6,70.09,12501,3
Urgot,Top,0.5024,0.0032,0.0014,30.27,5.7,6.06,6.27,2.67,21697,19815,1774,181.2,1.4,3.67,11969,48
Varus,ADC,0.5005,0.0164,0.0003,24.28,7.16,6.23,8.11,3.28,23671,18713,2921,195.4,2.54,7.46,13083,16
Vayne,ADC,0.4936,0.251,0.044,90.14,7.49,6.19,5.82,3.42,20896,21188,3304,188,2.53,7.94,12786,12
Veigar,Middle,0.45,0.0158,0.0005,30.9,7.19,6.25,6.9,3.33,21372,17484,1665,183.4,1.85,8.14,12552,42
Vel'Koz,Middle,0.5254,0.0243,0.0006,52.38,7.03,5.52,8.36,3.54,28071,17182,1927,182.2,1.71,6.62,12776,6
Vi,Jungle,0.5098,0.063,0.0046,42.9,6.49,5.78,8.17,3.09,15589,26711,5874,42.3,9.71,67.2,12076,24
Viktor,Middle,0.466,0.0266,0.0009,43.26,6.66,5.96,6.83,3.26,24028,17202,1653,191.3,1.91,8.61,12543,31
Vladimir,Top,0.4668,0.0294,0.0016,51.91,5.15,6.61,6.45,2.3,24558,31316,21832,197.8,2.62,4.74,12314,38
Volibear,Jungle,0.5417,0.0441,0.0141,46.58,6.73,4.86,9.26,3.54,16250,38069,7264,43.5,9.25,58.39,11962,6
Warwick,Jungle,0.5311,0.0221,0.0011,40.28,6.31,5.39,8.58,3.09,14983,38662,20104,36.8,10,67.92,12142,19
Wukong,Top,0.5191,0.0266,0.002,101.28,6.85,5.93,6.74,3.24,20437,25487,2492,176.4,2.24,4.77,12414,26
Xerath,Middle,0.5013,0.0185,0.0003,44.55,6.81,5.29,8.35,3.52,26596,15809,1783,179.2,1.53,6.61,12502,15
Xin Zhao,Jungle,0.5229,0.055,0.0685,32.88,6.65,6.41,6.8,2.93,17167,33688,14783,45.1,11.55,66.17,12275,11
Yasuo,Middle,0.4987,0.1172,0.0632,75.78,7.04,7.41,6.71,2.99,19940,22713,1190,198.5,5.06,9.67,12914,19
Yorick,Top,0.462,0.0047,0.001,12.36,4.62,6.11,6.99,2.08,21929,30114,13218,168.8,1.93,4.1,11657,54
Zac,Jungle,0.4807,0.0405,0.0054,37.97,4.93,4.49,11.12,2.71,15640,33550,27488,42.8,7.35,62.71,11494,28
Zed,Middle,0.5239,0.135,0.5859,55.76,8.81,6.15,5.7,3.98,22866,20979,2111,185.8,2.57,6.03,12989,2
Ziggs,Middle,0.4851,0.0172,0.0003,21.38,6.22,5.69,8.02,3,27691,16769,1749,198.4,2.04,9,12822,26
Zilean,Support,0.507,0.0222,0.0022,56.24,2.43,5.09,12.79,1.06,13339,16940,3175,42.5,0.64,1.09,10474,11
Zyra,Support,0.5241,0.0257,0.0005,81.92,3.83,7.01,11.34,1.5,22064,16987,1120,45,1.1,2.4,11323,15
